INBR,Name,Name kurz,DS100,Kategorie
5474010,Frantiskovy Lazne Aquaforum,Frantiskovy Lazne Aquaforum,XTFA,6
8100069,Frastanz,Frastanz,XAFR,6
8007010,Frauenalb-Schielberg,Frauenalb-Schielberg,RFS,6
8506100,Frauenfeld,Frauenfeld,XSFA,6
8100238,Frauenkirchen,Frauenkirchen,OAFRK,6
8071335,Fredenbeck,Fredenbeck,AFE,6
8600623,Fredericia st,Fredericia st,XDF,6
8503210,Freienbach SBB,Freienbach SBB,XSFB,2
8000340,Freimersheim(Rheinh),Freimersheim(Rheinh),FFRH,6
8100239,Freistadt,Freistadt,OAFRS,6
8011568,Freital-Coßmannsdorf,Freital-Coßmannsdorf,DFCO,6
8007804,Frelsdorf,Frelsdorf,AFF,6
8070392,Fremdingen Bf,Fremdingen Bf,MFRD,6
8500022,Frenkendorf-Füllinsdorf,Frenkendorf-Füllinsdorf,XSFF,6
8002089,Freudenberg-Kirschfurt,Freudenberg-Kirschfurt,NFM,6
8002087,Freudenstadt Industriegebiet,Freudenstadt Industriegebiet,TFSI,6
8002090,Freudenstadt Schulzentrum,Freudenstadt Schulzentrum,TFSZ,6
8002091,Freudenstadt Stadt,Freudenstadt Stadt,TFSS,6
8002094,Freyung Bf,Freyung Bf,NFY,6
8504100,Fribourg/Freiburg,Fribourg/Freiburg,XSF,6
8500305,Frick,Frick,XSFRK,6
8007446,Frickenhausen,Frickenhausen,TFKH,6
8090022,Frickenhausen Kelterstraße,Frickenhausen Kelterstraße,TFKHK,6
8002097,Fridolfing,Fridolfing,MFDF,6
8100185,Friedberg in der Steiermark,Friedberg in der Steiermark,OAFR,6
8100241,Friedburg,Friedburg,XAFI,6
8002101,Friedensdorf(Lahn),Friedensdorf(Lahn),FFRD,6
8011575,Friedewald(Kr Dresden) Bad,Friedewald(Kr Dresden) Bad,DFW,6
8011576,Friedewald(Kr Dresden)Hp,Friedewald(Kr Dresden)Hp,DFWH,6
8079024,Friedrichsgabe,Friedrichsgabe,AFRG,6
8017009,Friedrichshöhe,Friedrichshöhe,LFH,6
712894,Friedrichsplatz - Kassel,Friedrichsplatz - Kassel,FKFPL,6
8002113,Friedrichsruh,Friedrichsruh,AFRD,6
319911,Friedrichstadt - Düsseldorf,Friedrichstadt - Düsseldorf,D319911,6
721299,Friedrichstal Mitte - Stutensee,Friedrichstal Mitte - Stutensee,PQSFM,6
721297,Friedrichstal Nord - Stutensee,Friedrichstal Nord - Stutensee,PQSFN,6
721300,Friedrichstal Saint-Riquier-Platz - Stutensee,Friedrichstal Saint-Riquier-Platz - Stutensee,PQSFS,6
8002126,Friedrichstal b Freudenstadt,Friedrichstal b Freudenstadt,RFRT,6
8002118,Friedrichsthal(b Bayreuth),Friedrichsthal(b Bayreuth),NFSB,6
8011583,Friedrichswalde(bei Eberswalde),Friedrichswalde(bei Eberswalde),WFL,6
8100076,Friesach in Kärnten,Friesach in Kärnten,XAF,6
8600639,Frisvadvej st,Frisvadvej st,XDFV,6
8100104,Fritzens-Wattens,Fritzens-Wattens,XAFW,6
8002129,Fritzlar,Fritzlar,FFZ,6
8100033,Frohnleiten,Frohnleiten,OAFO,6
8702402,Frontenex,Frontenex,XFFX,6
8701164,Frontignan,Frontignan,OFFTG,6
8701112,Frouard,Frouard,XFFD,6
8800395,Froyennes,Froyennes,XBFY,6
8507478,Frutigen,Frutigen,XSFR,6
8007005,Furschenbach,Furschenbach,RFU,6
8100814,Furth b.Mattighofen,Furth b.Mattighofen,XAFH,6
8703726,Futuroscope,Futuroscope,XFFU,6
8011524,Fährbrücke,Fährbrücke,DFBE,6
8100797,Föderlach,Föderlach,XAFC,6
8100368,Fürnitz,Fürnitz,XAFU,6
8070809,Fürsteneck,Fürsteneck,NFUE,6
8100177,Fürstenfeld,Fürstenfeld,OAFFD,6
8002145,Fürstenwald,Fürstenwald,FFNW,6
8002146,Fürstenzell,Fürstenzell,MFZL,6
8400034,Gaanderen,Gaanderen,PNAAS,6
8600669,Gaarde st(DK),Gaarde st(DK),XDGR,6
5101171,Gadkow Wielki,Gadkow Wielki,OPGKW,6
8002167,Gaggenau Bf,Gaggenau Bf,RGG,6
8006733,Gaggenau Mercedes-Benz Werk,Gaggenau Mercedes-Benz Werk,RDAI,6
8301213,Gaggiolo transito,Gaggiolo transito,PIXG,6
8703361,Gagny,Gagny,XFGN,6
8703364,Gaillon Aubevoye,Gaillon Aubevoye,XFGAA,6
8100246,Gaisbach-Wartberg,Gaisbach-Wartberg,OAGSW,6
8100819,Gaishorn,Gaishorn,OAGAH,6
8300058,Gallarate,Gallarate,XIGA,6
8011593,Gallin,Gallin,WGAL,6
8701177,Gambsheim,Gambsheim,OFGB,6
8002177,Gamburg(Tauber),Gamburg(Tauber),TGAM,6
8007229,Gammertingen,Gammertingen,TGMT,6
8070382,Gammertingen Europastraße,Gammertingen Europastraße,TGME,6
8501603,Gampel-Steg,Gampel-Steg,XSGM,6
8700344,Gandrange-Amneville,Gandrange-Amneville,XFGD,6
8700026,Gannat,Gannat,XFGAN,6
8011595,Ganzlin,Ganzlin,WGLN,6
8002184,Garching(Alz),Garching(Alz),MGA,6
8700345,Gardanne,Gardanne,XFGA,6
8011597,Garftitz,Garftitz,WGFZ,6
8002188,Garmisch-Partenkirchen Hausberg,Garmisch-Partenkirchen Hausberg,MGPH,6
8002189,Gars(Inn),Gars(Inn),MGS,6
8100332,Gattendorf,Gattendorf,OAGTX,6
8002197,Gausbach,Gausbach,RGBA,6
8007227,Gauselfingen,Gauselfingen,TGSF,6
5100009,Gdansk Glowny,Gdansk Glowny,XPG,2
5101104,Gdansk Oliwa,Gdansk Oliwa,XPGOL,6
5101307,Gdansk Wrzeszcz,Gdansk Wrzeszcz,XPGWR,6
5100010,Gdynia Glowna,Gdynia Glowna,XPGD,6
8011601,Gebersdorf,Gebersdorf,UGEB,6
8007805,Geestenseth,Geestenseth,AGTH,6
8100830,Geinberg,Geinberg,XAGEI,6
8002211,Geisenhausen,Geisenhausen,MGHS,6
8002200,Geisingen-Aulfingen,Geisingen-Aulfingen,RGA,6
8002204,Geisingen-Hausen,Geisingen-Hausen,RGHA,6
8002213,Geisingen-Kirchen,Geisingen-Kirchen,RGK,6
8002215,Geisingen-Leipferdingen,Geisingen-Leipferdingen,RGL,6
8400244,Geldermalsen,Geldermalsen,XNGM,6
8400245,Geldrop,Geldrop,ONGL,6
8400246,Geleen Oost,Geleen Oost,ONLUO,6
8400248,Geleen-Lutterade,Geleen-Lutterade,XNLU,6
8500027,Gelterkinden,Gelterkinden,XSGK,6
8800057,Gembloux,Gembloux,XBGX,6
8002228,Gemmingen,Gemmingen,TGEM,6
8071001,Gemmingen West,Gemmingen West,TGEW,6
8300090,Gemona del Friuli,Gemona del Friuli,XIGF,6
8002234,Gendorf,Gendorf,MGND,6
8800111,Genk,Genk,XBGK,6
8300153,Genova Piazza Principe,Genova Piazza Principe,XIGP,6
8800031,Gent St Pieters,Gent St Pieters,XBGP,6
8800058,Gent-Dampoort,Gent-Dampoort,XBGD,6
8800328,Gentbrugge,Gentbrugge,XBGB,6
8501021,Genthod-Bellevue,Genthod-Bellevue,OSGEB,6
8501008,Genève,Genève,XSGE,1
